# Generated by: analyze_storage_usage.py
# Date generated: 2025-11-21 11:37:14
# Command: analyze_storage_usage.py us-prod400thor-prod.storage.csv --daily --by-account --format csv
# Input file: us-prod400thor-prod.storage.csv
# Date range: 2025-11-03 to 2025-11-07
# Format: Per-account daily breakdown
#
Date,StorageAccount,UsedGB,BlobGB,FileGB,TableGB,QueueGB
2025-11-06,hpccqqcxgdata14,224872.12,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata15,221330.76,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata16,223265.77,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata17,218341.84,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata18,222026.16,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata19,222342.31,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata2,221156.75,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata20,221751.28,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata3,225340.17,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata4,222152.44,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata5,222171.01,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata6,223574.68,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata7,225767.79,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata8,220450.72,0.00,0.00,0.00,0.00
2025-11-06,hpccqqcxgdata9,221335.08,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata1,221510.38,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata10,221166.99,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata11,221184.46,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata12,221611.77,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata13,217941.06,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata14,222055.60,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata15,221297.92,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata16,221496.09,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata17,218284.28,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata18,220752.41,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata19,222382.32,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata2,218253.49,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata20,221933.42,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata3,222519.38,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata4,220998.32,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata5,221918.49,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata6,222737.15,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata7,225242.36,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata8,218389.84,0.00,0.00,0.00,0.00
2025-11-07,hpccqqcxgdata9,221028.39,0.00,0.00,0.00,0.00
